Station,District,Elevation,2016,2017,2018,2019,2020,2021,2022
Suryapura,Rupandehi,114,1682.5,1499.7,1258.8,NA,2101.1,2494.8,1625.9
Bardaghat,Nawalparasi,126,1776.8,2763.8,1507.1,1394.9,NA,3339.6,2429.7
Marchabar,Rupandehi,104,1653.1,1972.8,NA,1259.6,1626.6,2085.4,1107.3
Sandhikharka,Arghakhachi,1030,1222.3,1116.1,993.5,959.3,1814.7,1928.3,1569.3
Jagat Setibas ,Gorkha,1334,1699.7,1443.7,1511.6,2048.4,NA,NA,1540.8
Khudi Bazar,Lamjung,838,3757.1,3256,3415.7,2932.1,4658.7,3811.7,4156
Pokhara Airport,Kaski,803.9,3517.9,3743.3,2999.7,3102.1,5454.3,5216.7,4094.9
Syangja,Syangja,871,3125.4,2763.2,2830.9,2689.6,4333.3,4168.1,2813.4
Larke Samdo,Gorkha,3650,714,606.3,660.3,722,491.2,947.1,800.6
Kunchha,Lamjung,820,2872.8,1978.1,1956.7,1720.4,NA,3241.2,3139.6
Bandipur,Tanahu,991,1378,770.2,1552.2,1629.7,2296.4,2712.3,2124.6
Gorkha Birenchowk ,Gorkha,724,1524.6,1527.4,1728.6,1524.9,1960.2,2114.3,2048.9
Gorkha Agromet,Gorkha,720,NA,NA,NA,NA,NA,NA,NA
Chapakot,Syangja,617,1626.2,1712.1,1506.4,1850.3,2476.8,2959.4,2280.6
Malepatan Pokhara ,Kaski,859,4061.7,4234.4,3453.5,3324.8,5752.7,5454.6,4530.7
Bhadaure Deurali,Kaski,1630,4362.7,4587.9,4188.1,4682.1,8937.2,6918.1,NA
Lumle,Kaski,1738,5145.6,5030.4,5055,5160.2,6226.4,5627,5202.9
Khairini Tar,Tanahun,515,2099.4,2272.5,1946.2,2009.2,3276.3,3609.4,2790.3
Damauli,Tanahun,347,1172.1,NA,1511.5,1286.6,NA,NA,NA
Lamachaur,Kaski,991,4504.6,4586.4,3835.2,3664.7,NA,4741.6,4634.1
Manang Bhot,Manang,3556,100.2,140,180.6,413.3,NA,399.7,330.4
Ghandruk,Kaski,1960,NA,NA,NA,NA,NA,4512.5,4606.6
Gharedhunga,Lamjung,1088,2870.6,2731.8,2885.3,2920.1,NA,3664.4,3179.7
Sikles,Kaski,1967,3939.3,3420.9,4201.6,4027.2,4885.2,4416.8,NA
Walling,Syangja,756,2250.3,1720.6,1918.4,NA,2667.6,2924,2716
Sallyan Kaski ,Kaski,1591,4046.5,3986.4,3719.5,3879.7,NA,5341.6,4300.5
Pamdur,Kaski,1726,4588.5,4954.9,4470.3,4865.9,6467.8,6079.6,NA
Dandaswara,Syangja,1316,3163.6,2698,2883.7,2804.6,4662.8,4607.4,NA
Chhekampar,Gorkha,3300,750.5,419.9,683.9,793.1,NA,1312.8,938.6
Naar,Manang,4195,111.4,431.3,686.2,739.5,NA,NA,NA
Goga Tilche ,Manang,2256,1090.8,977.5,1075.2,1291.1,1330.6,NA,1219.4
Pisang Gaun,Manang,3214,588.5,614.9,589.8,932.5,788,1465.8,855
Namrung,Manang,NA,312.4,NA,NA,NA,NA,NA,635.7
Machhi Khola,Gorkha,550,1975.4,1478.2,1852.3,NA,NA,2630.6,2009.9
Taal,Manang,1670,1915,NA,1393.9,1772.6,NA,NA,NA
Ghalekharka,Kaski,1665,4475.9,4105.3,4250.8,4137.8,4900.8,4238.7,NA
Rivan,Kaski,1506,5108.7,3731.7,4192,5246.3,5643.6,3784.5,2872
Bhujung,Lamjung,1690,3972.4,3318,4546.9,3853.6,NA,4156.9,3251.4
Faleni,Lamjung,1278,4073.7,3247.6,4478.9,3401.3,NA,4100.1,3863.7
Yamjakot,Kaski,1478,4703.5,3617.1,NA,NA,NA,4097.9,4600
Gilung,Lamjung,1430,3477.2,2862.9,3399.5,2679.3,NA,4591.9,4606.8
Pumdhi Bhumdhi,Kaski,1565,4334.9,4459,3573.6,4141.5,5949.6,NA,4670.5
Barpak,Gorkha,1889,4673.2,2907.3,5835.5,NA,NA,3868.7,NA
Begnas,Kaski,682,3458.3,3065.2,3205.8,2580.6,NA,4876.6,3449
Bhorletar,Lamjung,469,2608.9,2257.7,2118.2,2054.9,NA,NA,NA
Panchamul,Syangja,1575,3405.8,3139,3302.5,2938.2,NA,4409.5,3339.2
Nirmal Pokhari,Kaski,975,3083.9,2878.9,2253,1993.8,NA,4165,2764.1
Thaprek,Tanahun,1131,2638.4,2560.5,2639,2108.5,NA,3456.9,NA
Rainastar,Lamjung,588,1952.9,1599.4,2258.6,1905.8,NA,2972.1,2770.3
Syamgha,Tanahu,372,2221.7,1887.8,1977.1,NA,NA,NA,NA
Chisapani Syangja ,Syangja,1002,1292.3,569.9,535.8,NA,NA,NA,2108.7
Chundi Rangha,Tanahu,527,2163.8,1557,1655,1319.8,NA,2604.2,NA
Jyagdi,,455,1997,NA,1150.3,1019.5,NA,NA,2258.6
Malunga,Syangja,764,1350.6,1611.5,1420.5,NA,NA,NA,NA
Atraulitar,Tanahun,349,1635.5,1601.9,1556.8,1539.6,NA,2958.5,2015.7
Sakhar At Tanahun,Tanahun,288,1429.9,1517.1,1531.9,1073.1,NA,1860.3,2060.1
Kotagaun,Tanahun,355,2535.9,NA,2243.2,2048.2,NA,3986.2,2249.2
Laprak,Gorkha,NA,3328.9,1638.5,1897.2,NA,NA,1043.8,1127.3
Panchase,Parbat,2492,3280.2,NA,2032.5,2867.7,NA,NA,NA
Chumchet,Gorkha,NA,839.8,617.5,413,545.9,NA,NA,723.2
Humde,Manang,3401,270.5,298.7,467.1,NA,NA,NA,NA
Rampur,Chitwan,189,2059.8,1695,1206.4,1539,3165.1,2216.3,NA
Jhuwani,Chitwan,177,1769.8,1913.7,1514,1926.6,2395.1,2315.7,1987.8
Chisapani Gadhi,Makwanpur,1729,1646.6,1933.4,1905.5,2181,2432.5,NA,2254.4
Daman,Makwanpur,2265,NA,1357.6,1488.9,1721.1,1987.3,2193.8,1734.6
Hetauda N F I ,Makwanpur,452,2083.6,2437.6,2135.6,2254.4,2500.2,2543.5,NA
Amlekhganj,Bara,310,505.8,1808.7,1260.3,NA,NA,NA,1121.6
Simara Airport,Bara,137,1587.5,1967.1,1717.7,1738.1,2403.6,2383.1,1618.6
Nijgadh,Bara,244,330.1,NA,NA,NA,NA,2458.2,1878.4
Parwanipur,Bara,87,1312.5,1599,1553.2,1585.5,NA,1864.8,1357.6
Ramoli Bairiya,Rautahat,152,1282.2,1854.4,NA,NA,NA,1910.8,1241
Markhu Gaun,Makawanpur,1535,1012,1136.1,1092.3,1633.1,1675,1516.6,1337.8
Birganj,Parsa,67,NA,1227.4,NA,NA,NA,1950.8,1130.1
Makwanpur Gadhi,Makwanpur,1050,2034.3,2388,1360,NA,3103.4,3208.8,3168.8
Kalaiya,Bara,100,1157.7,1121.8,1401,NA,1782.8,1742.8,1171.8
Gaur,Rautahat,77,NA,NA,NA,787.4,1732.1,NA,1012.4
Kolbhi,Bara,114,1471.3,1975.6,1131.7,NA,NA,1984.5,1475.4
Bharatpur,Chitwan,216,2333.3,2040.7,2223.7,1607.1,NA,2649.9,2705.2
Shaktikhor,Chitwan,333,2034,NA,2103.9,2168.4,3207.9,2790.5,3185.9
Shilinge,Makwanpur,802,1464.3,1871.4,NA,NA,NA,2148.3,NA
Meghauli,Chitwan,157,1701.1,2032.7,1398.9,1670.6,3061.3,2799.8,2086.2
Madi Kalyanpur,Chitwan,240,NA,2083.7,NA,1645.6,2460.1,2415.8,2037.4
Gajuri,Dhading,430,NA,NA,1957.6,1539.5,1926.5,1776.6,1785.1
Majhimtar,Dhading,327,3000.6,1876,2916.7,2416.7,3415.1,NA,3592.7
Govindabasti,Chitwan,227,NA,NA,NA,NA,NA,2194.8,NA
Riewkhola Bankatta ,Chitwan,105,NA,NA,1721.9,1610.2,2341.5,NA,NA
Arughat Rainfall ,Gorkha,518,NA,550.7,NA,2123.5,2700.3,NA,2679.9
Gumthang,Sindhupalchok,1885,2927.8,3041.5,2732.1,2385.6,3360.7,3327.4,3158
Kakani,Nuwakot,2002,2649.4,2812.3,2945.6,2729.7,NA,NA,2585.7
Nawalpur,Sindhupalchok,1653,2132.7,2057.7,2203.3,NA,2653,2619.6,2459
Chautara,Sindhupalchowk,1552,2003.6,1572,NA,1695.8,2405.2,NA,2090.7
Sarmathang,Sindhupalchok,2574,3983.9,3988.7,3954.5,NA,4214.3,4095.6,4151.5
Duwachaur,Sindhupalchok,1481,1943.5,1129.3,708.7,NA,NA,NA,2284.3
Baunepati,Sindhupalchok,774,1600.9,1471.5,1834.2,1672.8,2107.8,1737.4,NA
Mandan,Kavrepalanchok,1358,NA,NA,NA,NA,NA,1381.6,1376.9
Dolal Ghat,Kavre,659,1009.3,1179.1,824.9,1098.8,1170.6,1150.2,1375.3
Dhulikhel,Kavre,1543,1258.3,NA,1415.3,1745.8,1404.2,1480.5,1572.9
Dhap Thangpal ,Sindhupalchok,1284,NA,2605.4,2751.2,NA,3073.8,3142,2497.7
Khumaltar,Lalitpur,1334,1098.4,1053.9,977.2,1320.7,1419.8,1278,1483.1
Kathmandu Airport,,1337,1482.8,1279.3,1529,1529.3,1517.1,1710,1825.6
Sankhu,Kathmandu,1436,NA,1426.5,2236.9,1373.6,2078.2,2392.3,2419.9
Panchkhal,Kavre,857,856.4,1035.6,NA,1330.4,1195.4,1191.9,1254.8
Dhunibesi,Dhading,991,1135.6,1179.3,1405.8,1811.9,1657.9,1560.2,1691.2
Panipokhari Kathmandu ,Kathmandu,1329,1229.1,1388,1556.4,1840.9,1795.7,1529.7,2054
Nagarkot,Bhaktapur,NA,1363.7,1723,NA,1857.2,NA,1839.9,1935.6
Khopasi Panauti ,Kavrepalanchowk,1442,1032.6,951.5,1273,NA,NA,1361.2,1179.7
Bhaktapur,Bhaktapur,1315,1286,1089.4,1350.2,1522,1573.8,1513.5,1511.3
Thamachit,Rasuwa,1770,1641.7,1089,NA,1475.4,1652.5,1410.8,851.1
Dhunche,Rasuwa,2005,NA,NA,1904.4,1960.5,2199,2311.8,1834.1
Pansayakhola,Nuwakot,1982,2930.5,2676.7,3031,NA,4198.6,3937.2,3312
Tarke Ghyang,Sindhupalchok,2596,3683.1,NA,3897.8,3928.4,4088,4402.7,4281.8
Changu Narayan,Bhaktapur,1502,1706.4,1770.1,1911.7,1830.9,1888.4,NA,2228.3
Chapa Gaun,Lalitpur,1478,1149.9,1085.9,982.3,1426.9,1374.7,1447.4,NA
Sangachok,Sindhupalchok,1195,1442.4,1171.2,1324,1517.5,1587.7,1333.2,1596
Thokarpa,Sindhupalchok,1565,1755.6,1785.2,2048.5,1895.6,1816.5,1647,1931.9
Buddhanilakantha,Kathmandu,1378,NA,NA,NA,NA,NA,1808.9,2066.2
Khokana,Lalitpur,1309,1056.1,1131,996.1,1359.5,1460.9,1494.9,1242.9
Naikap,Kathmandu,1477,1032.7,826.7,NA,1468.7,1744.6,1438.2,1699.8
Sundarijal Alapot ,Kathamandu,1384,1956,1902.9,NA,1904.7,1972,2086.1,2289.5
Nagarjun,Kathamandu,1393,2136.3,1516.1,1710.6,NA,1919.1,1656.3,2220.8
Tikathali,Lalitpur,1305,1090.2,785.1,1045.6,1313.2,1339.3,1516.1,1195.3
Jitpurphedhi,Kathamandu,1409,1476.5,1864.2,1827.2,1801,2223,1907.3,2318.7
Nangkhel,Bhaktapur,1413,1200.4,1130.8,1280.8,1431.2,1303.5,1571.6,1556.7
Nagdaha,Dolakha,909,959.5,1057.5,1227.4,1380.6,1288,1019.7,1532.1
Charikot,Dolakha,2132,NA,2684.4,2593.2,2887.5,2715.7,3023.8,2722.5
Jiri,Dolakha,1877,NA,2770.5,2673.7,2405.7,2651.4,2739.2,2753.2
Melung,Dolakha,1536,NA,1469.3,1433.4,1676.2,1330,1424.8,2031.6
Sindhuli Madhi,Sindhuli,556,2181.7,2124.4,2102.7,2092.5,2423.8,2876.8,2210.9
Bahun Tilpung,Sindhuli,1129,1606.2,1243,1309.5,1783.5,1876.7,2025.1,1712.2
Pattharkot East ,Sarlahi,189,NA,1376.2,1222.4,NA,NA,2350.3,1834.3
Tulsi,Dhanusha,271,1703.6,1756.7,1376.2,NA,NA,1857.4,1526.1
Janakpur Airport,Dhanusha,76,1429.5,1466.4,1215.8,1536.7,1673.2,1875.5,1165
Chisapani Bazar,Dhanusa,127,1710.7,1367.5,1209.4,1971.9,NA,1818.8,1259.8
Thodung,,3120,NA,NA,NA,NA,NA,NA,NA
Hardinath,Dhanusha,93,1436.3,1205,1115.6,1505.3,NA,1706.4,1072.2
Nepalthok,Sindhuli,690,722.8,698.3,803.2,NA,835.8,1046.7,678.2
Hariharpur G,sindhuli,880,NA,NA,NA,NA,NA,NA,NA
Hariharpur Gadhi Valley,Sindhuli,250,2033.5,2595.1,2517,NA,2709.7,2669.9,NA
Manusmara,Sarlahi,90,1205.5,1347.4,1202.9,1579.2,NA,1818.8,1242.4
Gausala,Mahottari,200,3102.2,2280.5,2453.8,1828.1,NA,1946.5,1113.1
Malangwa,Sarlahi,87,NA,1253.6,NA,NA,NA,NA,1066.8
Karmaiya,Sarlahi,139,NA,2214.2,1278.9,1795.4,2590,2255.7,1432.2
Jalesor,Mahottari,68,NA,NA,1272,NA,NA,2142.6,1024.2
Manthali,Ramechhap,497,592.3,677.1,837.1,855.5,NA,1301.1,804.5
Kabre,Dolakha,1755,2496.5,1940.9,2081.3,2144.7,1825.5,2086.3,2308.3
Chaurikhark,Lukla,2642,2134.3,1515,1896,2068.4,NA,2267.2,2137.2
Pekarnas,Solukhumbu,1945,1789.6,1396.6,1386,NA,NA,1822.4,1953.5
Aisealukhark,,2064,2492.8,1869.3,1727.1,1941,NA,2190.2,2521
Mane Bhanjyang,Okhaldhunga,1529,NA,851.4,775.1,NA,NA,1166.7,895.6
Kurle Ghat,,341,983.5,486.8,563.1,1091.9,NA,1031.5,757.2
Khotang Bazar,Khotang,1305,1011.7,941.8,NA,1210.3,NA,1100.3,963.4
Phattepur,Saptari,101,2237.3,NA,1484.7,NA,NA,NA,NA
Udayapur Gadhi,,469,NA,1627.8,1564.2,2558.5,NA,2085.5,2295.1
Katari,Udayapur,195,NA,NA,NA,NA,NA,NA,1491.6
Lahan,Siraha,110,1592.2,1332.1,1411.3,1582.4,NA,NA,1624.2
Siraha,,63,NA,1321.2,1275.5,1148.8,NA,1636.6,1345
Salleri,,2383,1299.9,NA,1392.4,1612.4,NA,NA,NA
Chialsa,,2770,NA,NA,NA,NA,NA,NA,NA
Diktel,Khotang,1612,1868.8,1509.8,1454.3,1529.2,1297.4,1385.3,1858.4
Rajbiraj,Saptari,68,1552.4,1670.4,1245.7,1798.3,2030,2140,1490.9
Siruwa,Solukhumbu,1614,NA,NA,2084.2,NA,NA,2308.1,2030.7
Barmajhiya,Saptari,118,1481.5,1709.9,1242.7,NA,NA,2141.6,1788.1
Gaighat,Udayapur,179,804.2,1575.1,1628.1,1955.5,NA,2654.5,1883.8
Num,Sankhuwasabha,1494,NA,NA,5074.1,4955,4500.8,3996.9,5789.9
Chainpur East ,Sankhuwasabha,1277,1391.7,1142.5,1038.7,NA,1341.3,NA,NA
Pakhribas,Dhankuta,1720,1575.2,1404.7,1460.1,1727.1,1818.5,1860.1,1376
Leguwa Ghat,Dhankuta,446,NA,936.4,768,1148.1,741.3,1235,928.6
Muga,Dhankuta,1457,NA,NA,NA,957.7,NA,NA,1155.4
Dhankuta,Dhankuta,1192,1068.2,936.5,731.2,1072,1454.2,1212.5,915.1
Mulghat,Dhankuta,286,NA,1105.6,856.4,NA,NA,1422.1,964.1
Tribeni Dhankuta ,Dhankuta,146,2270.1,1746.1,1733.6,2102,1960.5,2065.7,2087.6
Dharan Bazar,sunsari,310,2362.2,NA,1427.4,2409.8,NA,NA,NA
Haraincha,Morang,93,2406.7,1866.8,1440.9,1897.4,2419.6,2649.2,2207.5
Terhathum,,1525,NA,NA,679.6,1173.7,NA,NA,NA
Chatara,Sunsari,105,2894,NA,1981.3,NA,NA,NA,NA
Chepuwa,,2039,2972.9,2647.3,2945,2911.4,NA,NA,NA
Biratnagar Airport,Morang,72,1826.5,1038.2,1739.5,2013.4,2580.1,2371.8,1816.5
Tarahara,Sunsari,120,2357.1,1987.4,1494.1,2491.8,NA,2509.4,2101.6
Tumlingtar,Sankhuwasabha,477,NA,1249.8,929.6,NA,1624.6,1493.5,1346.3
Machhuwaghat,Dhankuta,168,NA,1274.7,NA,NA,NA,1251.2,1833.2
Bhojpur,Bhojpur,1569,NA,NA,NA,NA,NA,NA,NA
Dingla,,1169,2357.4,1557.8,1431.2,1815.5,2829.8,2329.7,2320.9
Letang,Morang,256,NA,2272.2,2019.8,NA,2984.8,2707.8,2334.6
Khadbari,Sankhuwasabha,1064,2171.9,1393.6,1342,1474.3,2907.2,2037.7,1874
Lungthung,,1807,2501.1,2272,2630.9,NA,NA,2437.2,2187.8
Tapethok,Taplejung,1388,3268.8,2787.9,3149.5,NA,NA,2867.5,2826.4
Taplejung,Taplejung,1744,2321.6,1696.9,1503.8,1669.1,NA,1792.3,1838.6
Memeng Jagat,Panchthar,1590,NA,NA,1693.9,NA,NA,1405,1955.1
Ilam Tea Estate,Ilam,1208,1591.7,1101.3,1096.5,1449.6,NA,NA,1336.9
Damak,Jhapa,119,2881.4,NA,NA,2785,NA,NA,NA
Anarmani Birta,Jhapa,122,3448,2675.7,2467.1,NA,NA,2628.7,2889.3
Himali Gaun,Ilam,1654,NA,2382.9,2002.6,2358.8,NA,2876,1923.5
Chandra Gadhi,Jhapa,90,1841.4,NA,NA,2768,NA,NA,NA
Sanischare,Jhapa,168,NA,2666,2198.2,2615.8,NA,NA,NA
Kanyam Tea Estate,Ilam,1570,2776.7,2786.9,2554.9,2709.8,3039.5,3492.9,2510.3
Phidim Panchther ,Panchthar,1157,1217.3,1161.8,971.1,1094.1,1289.4,1547.9,1104.4
Dovan,Taplejung,700,1711.8,1375.4,1527.5,1650.7,NA,1720.8,1954
Gaida Kankai ,Jhapa,107,2529,NA,2228.5,2922.4,NA,3059.2,2743.2
Kechana,Jhapa,71,NA,2688.4,2270.8,2294.8,NA,2848.7,2326.7
Barphalyang,Illam,420,NA,NA,NA,NA,NA,3169.7,3110.9
Nuwakot,Nuwakot,966,1698.3,1728.6,2356.3,2340.6,2257.6,2238.9,2025.8
Sindhuligadi,Sindhuli,NA,1795.4,1079.8,1857,2078.3,2731.1,3080,3323.7
Lukla Airport,Solukhumbhu,2786,NA,NA,NA,NA,NA,NA,2489
Kankai Mainachuli,,NA,1510.3,1799.6,1586.7,1634.2,NA,NA,NA
Chisapani Karnali ,Kailali,201,2526.2,2258.7,2174.8,2103.2,3088,NA,3350.5
Bhorleni,Makawanpur,NA,3297.8,1295.8,3740.5,3300.7,NA,2938.8,NA
Binayak,,465,986,1241.1,830.8,807.1,NA,1636,1041
Charchhare,Chitwan,171,NA,2401.1,1623.1,1828.2,NA,NA,1831.8
Dandagaun,,1371,1271.6,1234.9,992.2,1092.6,1912.5,1920.8,1635.4
Dhap Tarnamlang ,Sindhupaichok,1347,4116.3,2579.7,2942.9,2971.3,3485.1,3603.1,3045.2
Dharmpaniya,,1167,1735,1957.6,1586.5,2001.2,2387.9,2484.1,2100.2
Dhaulatiya Dallekhdhar ,,2071,2636.1,2749.2,3346.2,2609.6,3443,3648.1,3519.5
Godavari,,NA,1474.3,1334.9,1401.3,1672.9,1769,1754.4,1586.6
Goganepani,,1070,2755.8,2708.4,2129.8,2228.5,NA,2768.7,3268.7
Gothi,,NA,1304,1366.1,1266.4,1088.4,NA,1378.7,1004.1
Itram Surkhet Regional Office ,,720,1385.7,1409.2,1432.9,1593.2,1872.2,1611.3,1766
Jyamirebari,,1525,3715.7,2907.9,3330,3324.4,NA,3607.2,NA
Kalukheti,,1447,1245.4,1309.3,1572.2,1431.1,NA,2318.2,1843.3
Khaptad,Bajhang,3068,NA,NA,1802.1,1588.7,NA,NA,NA
Lele,,NA,1472.3,NA,1322.8,1750,NA,NA,NA
Lete,Mustang,2617,1568.2,NA,1492.6,1452.5,NA,NA,NA
Lumpthi,,1653,NA,1916,2336.7,2012,1903.2,2774.3,1822.8
Luwamjula Bazar,,895,NA,NA,NA,NA,NA,1414.9,1315
Nepalgunj Airport,,NA,1423.3,1335.9,1338,NA,1335.4,1577,1712.4
Okhaldhunga,,1725,1925.5,1579.6,1310,1403.9,1468.3,1838.6,1480.6
Padhampur,,656,1559.7,1636.7,1608.5,1366.2,1528,1929.1,1679.6
Pakhapani,,846,840.6,958.1,NA,1114.1,987.7,1422.8,1135.8
Ramjakot,,660,1512,1268.8,1301.9,NA,NA,NA,NA
Sundarijal Mulkharka ,Khthamandu,1658,2454.1,1819.5,2426.5,2155.7,2483.6,2222.8,2392.6
Thori,,243,NA,2730.8,NA,NA,NA,2463.2,1939.2